R_ID,zone,voltage_level,Resource,RENEW,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,HYDRO,VRE,Commit,Min_Share,Max_Share,Existing_Cap_MW,New_Build,Cap_size,Max_Cap_MW,Min_Cap_MW,Min_Share_percent,Max_Share_percent,Inv_cost_per_MWyr,Inv_cost_per_Mwhyr,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Externality_cost_MWh,Start_cost,Start_fuel_MMBTU_per_start,Heat_rate_MMBTU_per_MWh,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh_in,Hydro_level
1,1,trans,Solar,1,0,0,1,0,0,0,0,0,1,0,0,0,31119,1,1000,305.131,-1,0,0,35.10580309,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2,1,trans,Wind,1,0,0,1,0,0,0,0,0,1,0,0,0,23052.21,1,1000,14.45221,-1,0,0,72.73844503,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,1,trans,Biomass,1,0,1,0,0,0,0,0,0,1,0,0,0,9721,1,1000,9.721,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4,1,trans,Mini Hydro,1,0,0,1,0,0,0,0,0,1,0,0,0,2450,1,1000,0,-1,0,0,96.93003959,0,31.81818182,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5,1,trans,Pumped Hydro Storage,1,0,1,0,1,0,0,0,0,0,0,0,0,1664.823272,1,1000,0.664823272,-1,0,0,112.6783142,0,15,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
6,1,trans,Hydro Reservoir,1,0,1,0,1,0,0,0,1,0,0,0,0,4531,0,1000,0,-1,0,0,143.7514285,0,39.39393939,0,0,0,0,0,none,0,0,1,1,0.000566875,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.490752929
7,1,trans,Hydro Run of River,1,0,0,1,0,0,0,0,0,1,0,0,0,23497.27878,1,1000,6.073508777,-1,0,0,143.7514285,0,47.27272727,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
8,1,trans,Nuclear Old,0,1,1,0,0,0,0,0,0,0,1,0,0,2664.493478,0,230,0,-1,0,0,163.120054,0,72.91507136,9.185728,0,230,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
9,1,trans,Nuclear New,0,1,1,0,0,0,0,0,0,0,1,0,0,5000,1,500,5.0288,-1,0,0,163.120054,0,80,3.4,0,500,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
10,1,trans,CCGT Old,0,1,1,0,0,0,0,0,0,0,1,0,0,2765.90925,0,360,0,-1,0,0,69.88250869,0,11.97518699,1.508616,0,38.181818,0,7.786447339,natural_gas,0.3,0,1,1,0,0,0.5,0.5,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
11,1,trans,CCGT New,0,1,1,0,0,0,0,0,0,0,1,0,0,48650,1,350,-1,-1,0,0,69.88250869,0,10,1.5,0,37.121212,0,6.769230769,natural_gas,0.3,0,1,1,0,0,1,1,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
12,1,trans,Coal Old,0,1,1,0,0,0,0,0,0,0,1,0,0,33362.79249,0,330,0,-1,0,0,105.7782711,0,55.0800726,0.914276,0,78.16,0,9.883853813,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
13,1,trans,Coal New,0,1,1,0,0,0,0,0,0,0,1,0,0,28380,1,660,-1,-1,0,0,105.7782711,0,30,0.9,0,141.47,0,9.467116711,coal,0.55,0,1,1,0,0,0.2,0.2,24,24,1,0,0.2,0.2,0.6,0.6,0,0,0,0,0
14,2,trans,Solar,1,0,0,1,0,0,0,0,0,1,0,0,0,28410,1,1000,152.49,-1,0,0,35.10580309,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
15,2,trans,Wind,1,0,0,1,0,0,0,0,0,1,0,0,0,152995.88,1,1000,130.39588,-1,0,0,72.73844503,0,16.66666667,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
16,2,trans,Biomass,1,0,1,0,0,0,0,0,0,1,0,0,0,6835,1,1000,6.835,-1,0,0,94.60831933,0,37.87878788,0,0,0,0,16.655814,biomass,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
17,2,trans,Mini Hydro,1,0,0,1,0,0,0,0,0,1,0,0,0,125,1,1000,0,-1,0,0,96.93003959,0,31.81818182,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
18,2,trans,Pumped Hydro Storage,1,0,1,0,1,0,0,0,0,0,0,0,0,2725.335426,1,1000,2.085335426,-1,0,0,112.6783142,0,15,0,0,0,0,0,none,0,0,0.866,0.866,0.083333333,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
19,2,trans,Hydro Reservoir,1,0,1,0,1,0,0,0,1,0,0,0,0,4621,0,1000,0,-1,0,0,143.7514285,0,39.39393939,0,0,0,0,0,none,0,0,1,1,0.000520695,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0.581986493
20,2,trans,Hydro Run of River,1,0,0,1,0,0,0,0,0,1,0,0,0,2131,1,1000,0.516809432,-1,0,0,143.7514285,0,47.27272727,0,0,0,0,0,none,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
21,2,trans,Nuclear Old,0,1,1,0,0,0,0,0,0,0,1,0,0,2844.4,0,300,0,-1,0,0,163.120054,0,38.1942963,4.774287,0,300,0,10.1812057,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
22,2,trans,Nuclear New,0,1,1,0,0,0,0,0,0,0,1,0,0,4500,1,500,4.8492,-1,0,0,163.120054,0,80,3.4,0,500,0,10.13518957,uranium,0.5,0,1,1,0,0,0.2,0.2,24,24,1,0,0.1,0.1,0.5,0.5,0,0,0,0,0
23,2,trans,CCGT Old,0,1,1,0,0,0,0,0,0,0,1,0,0,5424.080748,0,450,0,-1,0,0,69.88250869,0,12,1.5,0,47.727273,0,6.969189716,natural_gas,0.3,0,1,1,0,0,0.5,0.5,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
24,2,trans,CCGT New,0,1,1,0,0,0,0,0,0,0,1,0,0,42000,1,350,-1,-1,0,0,69.88250869,0,10,1.5,0,37.121212,0,6.769230769,natural_gas,0.3,0,1,1,0,0,1,1,8,8,1,0,0.75,0.75,0.75,0.75,0,0,0,0,0
